en," page and make sure that:"," page on the 2Checkout site and make sure of the following:"
en,"""Cash on delivery"" status","""Cash on delivery"" status"
en,"""Site management""","""Site management"""
en,"""X product"" options","""{{product}}"" options"
en,"""{{number}}"" tracking number is added","""{{number}}"" tracking number has been added"
en,"""{{number}}"" tracking number is removed","""{{number}}"" tracking number has been removed"
en,"""{{product}} product"" attributes","""{{product}} product"" attributes"
en,"# selected","# selected"
en,%,%
en,"'RESULT' argument not found","'RESULT' argument not found"
en,"'status' request argument can not found","'status' request argument not found"
en,"(disabled role)",(disabled)
en,"(like categories, weight, description, color)","(weight, description, sale price)"
en,(optional),(optional)
en,"(without writing a single line of code) - 2 min","(without writing a single line of code) - 2 min"
en,+12130000000,+12130000000
en,+15550000000,
en,"- OR -","- OR -"
en,"-- No categories --","-- No categories --"
en,"-- empty --","-- empty --"
en,"...Downloading {{entry}}...{{status}}","...Downloading {{entry}}...{{status}}"
en,"...Hooks {{hooksCount}}","...Hooks {{hooksCount}}"
en,"...Hooks {{hooksCount}}, Items {{itemsCount}}...","...Hooks {{hooksCount}}, Items {{itemsCount}}..."
en,"...Invoke {{type}} hook for {{entry}}...","...Invoke {{type}} hook for {{entry}}..."
en,"...Unpacking {{entry}}...{{status}}","...Unpacking {{entry}}...{{status}}"
en,"1 day","1 day"
en,"1 hour","1 hour"
en,"1 minute","1 minute"
en,"1 week","1 week"
en,"10 minutes","10 minutes"
en,"1000 Example street","1000 Example street"
en,"1000 Main Street","Street number and street, unit number, etc"
en,"12 hours","12 hours"
en,"120+ supported payment gateways, such as PayPal, Authorize.net and etc.","120+ supported payment gateways, such as PayPal, Authorize.net and Sage Pay, will let you accept payments from all over the world in multiple currencies and languages, offline & online."
en,14days,14days
en,"15 minutes","15 minutes"
en,"18 years","18 years"
en,"19 years","19 years"
en,"2 days","2 days"
en,"2 hours","2 hours"
en,"2Checkout.com account number","2Checkout.com account number"
en,"30 minutes","30 minutes"
en,30days,30days
en,"4 hours","4 hours"
en,"404 page","404 page"
en,"5 days","5 days"
en,"6 hours","6 hours"
en,7days,7days
en,90001,
en,"<span>X</span> items","<span class=""value"">{{X}}</span> items"
en,"A - Z","A - Z"
en,"A DB error occurred while uninstalling the module X","A DB error occurred while uninstalling the module ""{{name}}"""
en,"A dispute has been opened successfully","A dispute has been opened successfully."
en,"A new category will be created","New category will be created"
en,"A new customer? Enter your e-mail","A new customer? Enter your email"
en,"A new membership will be created","New membership will be created"
en,"A new product class will be created","New product class will be created"
en,"A new product will be created","New product will be created"
en,"A new review has been submitted for the product ""{{name}}"".","A new review has been submitted for the product ""{{name}}""."
en,"A new tax class will be created","New tax class will be created"
en,"A single domain","A single domain"
en,"ABA routing number","ABA routing number"
en,"API Login ID","API Login ID"
en,"API access password","API access password"
en,"API access username","API access username"
en,"API certificate","API certificate"
en,"API certificate filename","API certificate filename"
